Year,Comments,,Region,Subnational,Frequency,Unit,Source,Status,Series ID,SR Code,Mnemonic,Function Information,First Obs. Date,Last Obs. Date,Last Update Time,Series remarks,Suggestions,Mean,Variance,Standard Deviation,Skewness,Kurtosis,Coefficient Variation,Min,Max,Median,No. of Obs,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Mizoram,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18948201 (IASAAAR),SR502449,,,1994,2003,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61165102,374618107,13123,25519934.44,5051.725888,0.569364762,-0.825750861,0.38495206,7110,21930,11845,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7110,7390,9370,10720,11230,12460,14090,17690,19240,21930,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Nagaland,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18948301 (IASAAAS),SR502450,,,1994,2003,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61165202,374618117,26630,129872711.1,11396.1709,0.848500789,-0.52534042,0.427944833,13750,47490,23545,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13750,15960,18140,20240,23240,23850,25470,36790,41370,47490,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Orissa,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18948401 (IASAAAT),SR502451,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61165302,374618127,366103.3333,15173048533,123178.9289,0.410858395,-0.350381203,0.336459458,185370,593270,371475,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,185370,222240,271180,265040,322350,355810,387140,388140,420300,438620,543780,593270,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Pondicherry,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18949501 (IASAABE),SR502452,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61166502,374618257,32720,331877018.2,18217.49209,0.390121979,-0.920178319,0.556769318,9810,64570,30505,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9810,11270,13200,19070,26250,29820,31190,37810,41880,50310,57460,64570,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Punjab,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18948501 (IASAAAU),SR502453,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61165402,374618137,577420.8333,35785797663,189171.3447,0.071169356,-1.167132474,0.327614339,302480,883510,584020,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,302480,342180,386150,441980,487040,557360,610680,660100,709160,736940,811470,883510,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Rajasthan,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18948601 (IASAAAV),SR502454,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61165502,374618147,718333.3333,58267738842,241387.1141,-0.029189244,-0.752015592,0.336037746,329700,1104460,758670,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,329700,414870,473130,575160,640610,731800,785540,789820,880770,844050,1050090,1104460,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Sikkim,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18948701 (IASAAAW),SR502455,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61165602,374618157,8723.333333,13966787.88,3737.216595,0.461459414,-0.93655359,0.428416117,4030,15310,8155,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4030,4400,5200,5920,6800,7870,8440,9710,10800,12340,13860,15310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Tamil Nadu,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18948801 (IASAAAX),SR502456,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61165702,374618167,1199050.833,1.71566E+11,414204.8253,0.041558338,-1.020074428,0.345443924,575490,1889210,1222610,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,575490,686660,782050,892370,1035500,1182090,1263130,1411000,1435550,1550990,1684570,1889210,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Tripura,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18948901 (IASAAAY),SR502457,,,1994,2004,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61165802,374618187,41172.72727,363694141.8,19070.76668,0.295340155,-1.366215713,0.463189299,17770,71660,38140,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17770,18810,22960,27570,32980,38140,45440,52700,60050,64820,71660,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Uttar Pradesh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18949001 (IASAAAZ),SR502458,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61165902,374618197,1556576.667,2.34089E+11,483827.289,0.01100354,-0.863615507,0.310827792,804510,2356780,1595885,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,804510,940190,1062490,1277780,1375610,1538530,1653240,1730680,1813040,1974260,2151810,2356780,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
